Stock Price;Strike Price;Maturity;Dividends;Volatility;Risk free;Call Price
0.95;2355;03/31/17;0.017197;0.102317;6605;101788.0
11;2360;03/31/17;0.025884;0.091067;12413;82915.0
1.5;2360;03/31/17;0.025922;0.090718;6268;121227.0
6.8;2365;03/31/17;0.037087;0.080399;10228;198275.0
2.5;2365;03/31/17;0.037849;0.078488;1354;181990.0
3.6;2370;03/31/17;0.041692;0.076634;6983;71900.0
5.2;2370;03/31/17;0.041019;0.07791;11174;82333.0
2;2375;03/31/17;0.033281;0.079952;33581;67684.0
8.7;2375;03/31/17;0.032735;0.082088;19130;67461.0
0.95;2380;03/31/17;0.021673;0.082575;5625;83143.0
16.4;2380;03/31/17;0.021637;0.098664;3224;110232.0
0.45;2385;03/31/17;0.011385;0.082575;12097;71323.0
19.8;2385;03/31/17;0.013788;0.098664;1284;77687.0
0.2;2390;03/31/17;0.004734;0.082575;15611;86982.0
24.7;2390;03/31/17;0.00746;0.098664;696;55372.0
0.15;2395;03/31/17;0.001561;0.082575;19679;65831.0
29.5;2395;03/31/17;0.00343;0.098664;1879;70021.0
0.1;2400;03/31/17;0.000409;0.082575;24114;102843.0
35.4;2400;03/31/17;0.001342;0.098664;7033;84362.0
0.1;2405;03/31/17;0.000085;0.082575;12708;68016.0
40.5;2405;03/31/17;0.000447;0.098664;116;84103.0
0.05;2410;03/31/17;0.000014;0.082575;8020;61396.0
45.7;2410;03/31/17;0.000127;0.098664;2391;55625.0
0.05;2415;03/31/17;0.000002;0.082575;8227;96541.0
50.7;2415;03/31/17;0.000031;0.098664;94;68761.0
0.05;2420;03/31/17;0;0.082575;14489;68743.0
55.7;2420;03/31/17;0.000006;0.098664;36;87134.0
0.05;2425;03/31/17;0;0.082575;23304;96507.0
60.7;2425;03/31/17;0.000001;0.098664;154;50154.0
0.05;2430;03/31/17;0;0.082575;4655;52973.0
65.7;2430;03/31/17;0;0.098664;23;65595.0
0.05;2435;03/31/17;0;0.082575;12513;92558.0
70.4;2435;03/31/17;0;0.098664;24;76550.0
0.05;2440;03/31/17;0;0.082575;3169;61188.0
75.4;2440;03/31/17;0;0.098664;22;85285.0
0.05;2445;03/31/17;0;0.082575;2993;75377.0
80.7;2445;03/31/17;0;0.098664;2;85886.0
0.05;2450;03/31/17;0;0.082575;17467;85215.0
85.4;2450;03/31/17;0;0.098664;59;75067.0
0.05;2455;03/31/17;0;0.082575;1392;96285.0
90.7;2455;03/31/17;0;0.098664;7;116045.0
0.05;2460;03/31/17;0;0.082575;1219;111124.0
95.7;2460;03/31/17;0;0.098664;3;88041.0
0.05;2465;03/31/17;0;0.082575;3103;84518.0
100.4;2465;03/31/17;0;0.098664;38;157187.0
0.05;2470;03/31/17;0;0.082575;1124;154968.0
105.7;2470;03/31/17;0;0.098664;3;109975.0
0.05;2475;03/31/17;0;0.082575;4204;129549.0
110.7;2475;03/31/17;0;0.098664;1;201312.0
0.05;2480;03/31/17;0;0.082575;452;119106.0
116;2480;03/31/17;0;0.098664;0;113487.0
0.05;2485;03/31/17;0;0.082575;5588;399360.0
120.6;2485;03/31/17;0;0.098664;0;369599.0
0.05;2490;03/31/17;0;0.082575;1054;68928.0
126.9;2490;03/31/17;0;0.098664;0;77238.0
0.05;2495;03/31/17;0;0.082575;2267;111014.0
131.9;2495;03/31/17;0;0.098664;0;81651.0
0.05;2500;03/31/17;0;0.082575;10632;47706.0
136.9;2500;03/31/17;0;0.098664;0;47616.0
0.05;2505;03/31/17;0;0.082575;228;56782.0
141.7;2505;03/31/17;0;0.098664;0;44652.0
0.05;2510;03/31/17;0;0.082575;1638;55466.0
146.7;2510;03/31/17;0;0.098664;0;62554.0
0.05;2515;03/31/17;0;0.082575;534;62972.0
151.7;2515;03/31/17;0;0.098664;0;48265.0
0.05;2520;03/31/17;0;0.082575;6441;78227.0
156.7;2520;03/31/17;0;0.098664;0;84355.0
0.05;2525;03/31/17;0;0.082575;5867;103904.0
161.9;2525;03/31/17;0;0.098664;0;63236.0
0.05;2530;03/31/17;0;0.082575;1609;64061.0
166.7;2530;03/31/17;0;0.098664;0;43916.0
0.05;2535;03/31/17;0;0.082575;382;38749.0
171.7;2535;03/31/17;0;0.098664;0;55257.0
0.05;2540;03/31/17;0;0.082575;116;72326.0
176.9;2540;03/31/17;0;0.098664;0;75134.0
0.05;2545;03/31/17;0;0.082575;1;65919.0
182.2;2545;03/31/17;0;0.098664;0;64960.0
0.05;2550;03/31/17;0;0.082575;1362;62318.0
187.2;2550;03/31/17;0;0.098664;1;71492.0
0.15;2560;03/31/17;0;0.082575;0;60304.0
197.2;2560;03/31/17;0;0.098664;0;81317.0
0.05;2575;03/31/17;0;0.082575;16;78769.0
212;2575;03/31/17;0;0.098664;0;74897.0
0.05;2600;03/31/17;0;0.082575;2006;63835.0
237.2;2600;03/31/17;0;0.098664;0;59102.0
0.05;2650;03/31/17;0;0.082575;137;50132.0
287.2;2650;03/31/17;0;0.098664;0;56731.0
0.05;2700;03/31/17;0;0.082575;295;63046.0
336.9;2700;03/31/17;0;0.098664;0;68609.0
0.1;2750;03/31/17;0;0.082575;0;52725.0
387.1;2750;03/31/17;0;0.098664;0;55018.0
0.05;2800;03/31/17;0;0.082575;14;50753.0
436.9;2800;03/31/17;0;0.098664;0;47614.0
0.05;2900;03/31/17;0;0.082575;0;54814.0
537.1;2900;03/31/17;0;0.098664;0;55508.0
879.2;1500;04/03/17;0;0.215064;0;57906.0
0.05;1500;04/03/17;0;0.215064;72;68871.0
779.2;1600;04/03/17;0;0.215064;0;50363.0
0.05;1600;04/03/17;0;0.215064;176;35875.0
729.2;1650;04/03/17;0;0.215064;0;35922.0
0.05;1650;04/03/17;0;0.215064;300;47835.0
679.2;1700;04/03/17;0;0.215064;0;54891.0
0.05;1700;04/03/17;0;0.215064;201;38314.0
629.2;1750;04/03/17;0;0.215064;0;41425.0
0.05;1750;04/03/17;0;0.215064;605;40159.0
579.2;1800;04/03/17;0;0.215064;0;67776.0
0.05;1800;04/03/17;0;0.215064;303;46112.0
529.3;1850;04/03/17;0;0.215064;0;76141.0
0.05;1850;04/03/17;0;0.215064;212;59510.0
479.3;1900;04/03/17;0;0.215064;0;74233.0
0.05;1900;04/03/17;0;0.215064;2030;95650.0
